id_equipo;temporada;necesidad;motivo
543;2017;Sin necesidad clara;Sin señales negativas relevantes
544;2017;Delantero;Pocos goles respecto a la media de la liga
544;2017;Laterales;Defensas con pocas asistencias y muchos regateados
545;2017;Delantero;Pocos goles respecto a la media de la liga
545;2017;Extremo;Delanteros con regate y asistencias por debajo de la media
546;2017;Delantero;Pocos goles respecto a la media de la liga
546;2017;Extremo;Delanteros con regate y asistencias por debajo de la media
546;2017;Medio ofensivo;Mediocentros con pases clave y asistencias bajas
547;2017;Extremo;Delanteros con regate y asistencias por debajo de la media
548;2017;Portero;Porteros con pocas paradas y muchos goles encajados
529;2018;Sin necesidad clara;Sin señales negativas relevantes
530;2018;Sin necesidad clara;Sin señales negativas relevantes
531;2018;Delantero;Pocos goles respecto a la media de la liga
532;2018;Sin necesidad clara;Sin señales negativas relevantes
533;2018;Sin necesidad clara;Sin señales negativas relevantes
536;2018;Sin necesidad clara;Sin señales negativas relevantes
537;2018;Delantero;Pocos goles respecto a la media de la liga
538;2018;Sin necesidad clara;Sin señales negativas relevantes
539;2018;Laterales;Defensas con pocas asistencias y muchos regateados
540;2018;Laterales;Defensas con pocas asistencias y muchos regateados
541;2018;Sin necesidad clara;Sin señales negativas relevantes
542;2018;Delantero;Pocos goles respecto a la media de la liga
543;2018;Delantero;Pocos goles respecto a la media de la liga
543;2018;Laterales;Defensas con pocas asistencias y muchos regateados
545;2018;Extremo;Delanteros con regate y asistencias por debajo de la media
546;2018;Sin necesidad clara;Sin señales negativas relevantes
547;2018;Delantero;Pocos goles respecto a la media de la liga
548;2018;Sin necesidad clara;Sin señales negativas relevantes
720;2018;Delantero;Pocos goles respecto a la media de la liga
720;2018;Extremo;Delanteros con regate y asistencias por debajo de la media
720;2018;Laterales;Defensas con pocas asistencias y muchos regateados
726;2018;Delantero;Pocos goles respecto a la media de la liga
726;2018;Laterales;Defensas con pocas asistencias y muchos regateados
728;2018;Delantero;Pocos goles respecto a la media de la liga
529;2019;Sin necesidad clara;Sin señales negativas relevantes
530;2019;Sin necesidad clara;Sin señales negativas relevantes
531;2019;Delantero;Pocos goles respecto a la media de la liga
532;2019;Sin necesidad clara;Sin señales negativas relevantes
533;2019;Sin necesidad clara;Sin señales negativas relevantes
536;2019;Sin necesidad clara;Sin señales negativas relevantes
537;2019;Delantero;Pocos goles respecto a la media de la liga
538;2019;Delantero;Pocos goles respecto a la media de la liga
539;2019;Sin necesidad clara;Sin señales negativas relevantes
540;2019;Delantero;Pocos goles respecto a la media de la liga
540;2019;Laterales;Defensas con pocas asistencias y muchos regateados
541;2019;Sin necesidad clara;Sin señales negativas relevantes
542;2019;Delantero;Pocos goles respecto a la media de la liga
543;2019;Sin necesidad clara;Sin señales negativas relevantes
545;2019;Delantero;Pocos goles respecto a la media de la liga
545;2019;Portero;Porteros con pocas paradas y muchos goles encajados
546;2019;Sin necesidad clara;Sin señales negativas relevantes
548;2019;Sin necesidad clara;Sin señales negativas relevantes
715;2019;Sin necesidad clara;Sin señales negativas relevantes
720;2019;Delantero;Pocos goles respecto a la media de la liga
720;2019;Laterales;Defensas con pocas asistencias y muchos regateados
727;2019;Sin necesidad clara;Sin señales negativas relevantes
798;2019;Delantero;Pocos goles respecto a la media de la liga
798;2019;Extremo;Delanteros con regate y asistencias por debajo de la media
798;2019;Laterales;Defensas con pocas asistencias y muchos regateados
529;2020;Sin necesidad clara;Sin señales negativas relevantes
530;2020;Sin necesidad clara;Sin señales negativas relevantes
531;2020;Sin necesidad clara;Sin señales negativas relevantes
532;2020;Sin necesidad clara;Sin señales negativas relevantes
533;2020;Sin necesidad clara;Sin señales negativas relevantes
536;2020;Sin necesidad clara;Sin señales negativas relevantes
538;2020;Laterales;Defensas con pocas asistencias y muchos regateados
538;2020;Portero;Porteros con pocas paradas y muchos goles encajados
539;2020;Sin necesidad clara;Sin señales negativas relevantes
541;2020;Sin necesidad clara;Sin señales negativas relevantes
542;2020;Delantero;Pocos goles respecto a la media de la liga
542;2020;Medio ofensivo;Mediocentros con pases clave y asistencias bajas
542;2020;Pivote defensivo;Mediocentros con muchas faltas y baja recuperacion
543;2020;Extremo;Delanteros con regate y asistencias por debajo de la media
545;2020;Delantero;Pocos goles respecto a la media de la liga
546;2020;Delantero;Pocos goles respecto a la media de la liga
546;2020;Extremo;Delanteros con regate y asistencias por debajo de la media
546;2020;Medio ofensivo;Mediocentros con pases clave y asistencias bajas
546;2020;Laterales;Defensas con pocas asistencias y muchos regateados
548;2020;Pivote defensivo;Mediocentros con muchas faltas y baja recuperacion
715;2020;Sin necesidad clara;Sin señales negativas relevantes
720;2020;Delantero;Pocos goles respecto a la media de la liga
720;2020;Medio ofensivo;Mediocentros con pases clave y asistencias bajas
724;2020;Delantero;Pocos goles respecto a la media de la liga
724;2020;Medio ofensivo;Mediocentros con pases clave y asistencias bajas
724;2020;Laterales;Defensas con pocas asistencias y muchos regateados
726;2020;Delantero;Pocos goles respecto a la media de la liga
726;2020;Extremo;Delanteros con regate y asistencias por debajo de la media
727;2020;Delantero;Pocos goles respecto a la media de la liga
727;2020;Extremo;Delanteros con regate y asistencias por debajo de la media
797;2020;Delantero;Pocos goles respecto a la media de la liga
529;2021;Sin necesidad clara;Sin señales negativas relevantes
530;2021;Sin necesidad clara;Sin señales negativas relevantes
531;2021;Sin necesidad clara;Sin señales negativas relevantes
532;2021;Medio ofensivo;Mediocentros con pases clave y asistencias bajas
533;2021;Sin necesidad clara;Sin señales negativas relevantes
536;2021;Extremo;Delanteros con regate y asistencias por debajo de la media
538;2021;Laterales;Defensas con pocas asistencias y muchos regateados
539;2021;Laterales;Defensas con pocas asistencias y muchos regateados
540;2021;Delantero;Pocos goles respecto a la media de la liga
541;2021;Sin necesidad clara;Sin señales negativas relevantes
542;2021;Delantero;Pocos goles respecto a la media de la liga
542;2021;Extremo;Delanteros con regate y asistencias por debajo de la media
542;2021;Medio ofensivo;Mediocentros con pases clave y asistencias bajas
543;2021;Sin necesidad clara;Sin señales negativas relevantes
546;2021;Delantero;Pocos goles respecto a la media de la liga
546;2021;Extremo;Delanteros con regate y asistencias por debajo de la media
548;2021;Delantero;Pocos goles respecto a la media de la liga
715;2021;Laterales;Defensas con pocas asistencias y muchos regateados
724;2021;Delantero;Pocos goles respecto a la media de la liga
724;2021;Medio ofensivo;Mediocentros con pases clave y asistencias bajas
724;2021;Laterales;Defensas con pocas asistencias y muchos regateados
727;2021;Delantero;Pocos goles respecto a la media de la liga
728;2021;Delantero;Pocos goles respecto a la media de la liga
797;2021;Delantero;Pocos goles respecto a la media de la liga
798;2021;Delantero;Pocos goles respecto a la media de la liga
529;2022;Sin necesidad clara;Sin señales negativas relevantes
530;2022;Laterales;Defensas con pocas asistencias y muchos regateados
531;2022;Sin necesidad clara;Sin señales negativas relevantes
532;2022;Delantero;Pocos goles respecto a la media de la liga
533;2022;Sin necesidad clara;Sin señales negativas relevantes
536;2022;Extremo;Delanteros con regate y asistencias por debajo de la media
538;2022;Portero;Porteros con pocas paradas y muchos goles encajados
540;2022;Sin necesidad clara;Sin señales negativas relevantes
541;2022;Sin necesidad clara;Sin señales negativas relevantes
543;2022;Laterales;Defensas con pocas asistencias y muchos regateados
546;2022;Delantero;Pocos goles respecto a la media de la liga
546;2022;Medio ofensivo;Mediocentros con pases clave y asistencias bajas
547;2022;Extremo;Delanteros con regate y asistencias por debajo de la media
548;2022;Sin necesidad clara;Sin señales negativas relevantes
720;2022;Delantero;Pocos goles respecto a la media de la liga
720;2022;Pivote defensivo;Mediocentros con muchas faltas y baja recuperacion
723;2022;Sin necesidad clara;Sin señales negativas relevantes
724;2022;Delantero;Pocos goles respecto a la media de la liga
724;2022;Medio ofensivo;Mediocentros con pases clave y asistencias bajas
724;2022;Pivote defensivo;Mediocentros con muchas faltas y baja recuperacion
727;2022;Delantero;Pocos goles respecto a la media de la liga
728;2022;Central;Defensas con bajos aportes defensivos y muchos goles encajados
728;2022;Portero;Porteros con pocas paradas y muchos goles encajados
797;2022;Delantero;Pocos goles respecto a la media de la liga
798;2022;Delantero;Pocos goles respecto a la media de la liga
798;2022;Medio ofensivo;Mediocentros con pases clave y asistencias bajas
529;2023;Sin necesidad clara;Sin señales negativas relevantes
530;2023;Sin necesidad clara;Sin señales negativas relevantes
531;2023;Sin necesidad clara;Sin señales negativas relevantes
532;2023;Delantero;Pocos goles respecto a la media de la liga
533;2023;Sin necesidad clara;Sin señales negativas relevantes
534;2023;Delantero;Pocos goles respecto a la media de la liga
536;2023;Sin necesidad clara;Sin señales negativas relevantes
538;2023;Sin necesidad clara;Sin señales negativas relevantes
541;2023;Sin necesidad clara;Sin señales negativas relevantes
542;2023;Delantero;Pocos goles respecto a la media de la liga
542;2023;Extremo;Delanteros con regate y asistencias por debajo de la media
543;2023;Laterales;Defensas con pocas asistencias y muchos regateados
546;2023;Delantero;Pocos goles respecto a la media de la liga
547;2023;Sin necesidad clara;Sin señales negativas relevantes
548;2023;Sin necesidad clara;Sin señales negativas relevantes
715;2023;Delantero;Pocos goles respecto a la media de la liga
723;2023;Delantero;Pocos goles respecto a la media de la liga
724;2023;Delantero;Pocos goles respecto a la media de la liga
724;2023;Extremo;Delanteros con regate y asistencias por debajo de la media
724;2023;Medio ofensivo;Mediocentros con pases clave y asistencias bajas
727;2023;Delantero;Pocos goles respecto a la media de la liga
727;2023;Medio ofensivo;Mediocentros con pases clave y asistencias bajas
727;2023;Portero;Porteros con pocas paradas y muchos goles encajados
728;2023;Delantero;Pocos goles respecto a la media de la liga
728;2023;Medio ofensivo;Mediocentros con pases clave y asistencias bajas
798;2023;Delantero;Pocos goles respecto a la media de la liga
529;2024;Sin necesidad clara;Sin señales negativas relevantes
530;2024;Sin necesidad clara;Sin señales negativas relevantes
531;2024;Sin necesidad clara;Sin señales negativas relevantes
532;2024;Delantero;Pocos goles respecto a la media de la liga
532;2024;Extremo;Delanteros con regate y asistencias por debajo de la media
533;2024;Sin necesidad clara;Sin señales negativas relevantes
534;2024;Delantero;Pocos goles respecto a la media de la liga
536;2024;Delantero;Pocos goles respecto a la media de la liga
536;2024;Laterales;Defensas con pocas asistencias y muchos regateados
537;2024;Delantero;Pocos goles respecto a la media de la liga
537;2024;Medio ofensivo;Mediocentros con pases clave y asistencias bajas
538;2024;Portero;Porteros con pocas paradas y muchos goles encajados
540;2024;Delantero;Pocos goles respecto a la media de la liga
540;2024;Extremo;Delanteros con regate y asistencias por debajo de la media
540;2024;Medio ofensivo;Mediocentros con pases clave y asistencias bajas
541;2024;Sin necesidad clara;Sin señales negativas relevantes
542;2024;Delantero;Pocos goles respecto a la media de la liga
542;2024;Medio ofensivo;Mediocentros con pases clave y asistencias bajas
542;2024;Pivote defensivo;Mediocentros con muchas faltas y baja recuperacion
542;2024;Laterales;Defensas con pocas asistencias y muchos regateados
543;2024;Sin necesidad clara;Sin señales negativas relevantes
546;2024;Delantero;Pocos goles respecto a la media de la liga
546;2024;Pivote defensivo;Mediocentros con muchas faltas y baja recuperacion
546;2024;Laterales;Defensas con pocas asistencias y muchos regateados
547;2024;Delantero;Pocos goles respecto a la media de la liga
548;2024;Delantero;Pocos goles respecto a la media de la liga
720;2024;Delantero;Pocos goles respecto a la media de la liga
720;2024;Medio ofensivo;Mediocentros con pases clave y asistencias bajas
727;2024;Medio ofensivo;Mediocentros con pases clave y asistencias bajas
728;2024;Delantero;Pocos goles respecto a la media de la liga
798;2024;Delantero;Pocos goles respecto a la media de la liga
798;2024;Extremo;Delanteros con regate y asistencias por debajo de la media
529;2025;Extremo;Delanteros con regate y asistencias por debajo de la media
530;2025;Sin necesidad clara;Sin señales negativas relevantes
531;2025;Delantero;Pocos goles respecto a la media de la liga
531;2025;Extremo;Delanteros con regate y asistencias por debajo de la media
532;2025;Delantero;Pocos goles respecto a la media de la liga
533;2025;Sin necesidad clara;Sin señales negativas relevantes
536;2025;Sin necesidad clara;Sin señales negativas relevantes
538;2025;Sin necesidad clara;Sin señales negativas relevantes
539;2025;Delantero;Pocos goles respecto a la media de la liga
539;2025;Medio ofensivo;Mediocentros con pases clave y asistencias bajas
540;2025;Sin necesidad clara;Sin señales negativas relevantes
541;2025;Sin necesidad clara;Sin señales negativas relevantes
542;2025;Delantero;Pocos goles respecto a la media de la liga
543;2025;Sin necesidad clara;Sin señales negativas relevantes
546;2025;Delantero;Pocos goles respecto a la media de la liga
547;2025;Delantero;Pocos goles respecto a la media de la liga
548;2025;Pivote defensivo;Mediocentros con muchas faltas y baja recuperacion
548;2025;Laterales;Defensas con pocas asistencias y muchos regateados
718;2025;Delantero;Pocos goles respecto a la media de la liga
718;2025;Medio ofensivo;Mediocentros con pases clave y asistencias bajas
718;2025;Pivote defensivo;Mediocentros con muchas faltas y baja recuperacion
727;2025;Delantero;Pocos goles respecto a la media de la liga
727;2025;Extremo;Delanteros con regate y asistencias por debajo de la media
728;2025;Delantero;Pocos goles respecto a la media de la liga
797;2025;Sin necesidad clara;Sin señales negativas relevantes
798;2025;Delantero;Pocos goles respecto a la media de la liga
